InvoiceCode,ClientName,AmountPaid
S1PQIZ,Sophia Moore,785.0432993348597
CCPGUF,Liam Miller,492.3715591279596
OA6KTE,Sophia Williams,589.0034794262668
89C7NB,Liam Davis,726.4603211269449
ESMFFW,Ava Wilson,489.6174177758683
W4L5ZX,Liam Taylor,215.53252114582259
UX8OCM,Sophia Taylor,446.99591853967127
W12GL9,Ava Williams,789.772135084448
F6ACFJ,Mason Davis,278.9824655532196
NY9N3Z,Ethan Jones,694.6935533874605
J3FIY7,Olivia Smith,85.04669734125471
KGBXO1,Liam Williams,715.4609870224533
ZATVWL,Liam Taylor,225.27452031122886
FS0HTM,Ava Williams,555.2465030170495
HEW50P,Olivia Williams,334.21436169838574
X4CE44,Isabella Smith,963.8083176074883
BI7QPP,Noah Brown,489.2124131410087
2S4EHL,Ethan Jones,481.1926904341363
5DD2OI,Emma Davis,398.36165391126394
MVP15K,Olivia Miller,771.1195370931337
BQ621M,Liam Davis,206.39004773557485
IK0KV8,Logan Wilson,359.1172772944326
FL0RPD,Isabella Johnson,938.9723138069338
88WPTG,Logan Jones,391.1622329435788
A3MVYQ,Isabella Taylor,671.2786374118392
BU0QA4,Liam Davis,823.4371296575562
MDAQDH,Sophia Jones,217.3987649758701
1AAW9U,Ethan Miller,945.3712992616352
5MX1ZS,Sophia Davis,674.5465921814828
L9U0LH,Logan Brown,827.6500619376191
22CP9M,Noah Taylor,681.71103353561
NDZG4R,Emma Miller,635.7252901772814
2RSYMP,Logan Johnson,533.8068012491041
7GACUG,Sophia Smith,220.8023935454864
E2F6QL,Sophia Davis,289.5994640468144
9B3CUF,Noah Davis,62.64422571363751
6WDL4N,Olivia Taylor,650.6171471210173
IGOVCO,Isabella Brown,101.94678134424557
ZMORBY,Noah Smith,63.04544399463062
0B8CE9,Logan Taylor,762.8860665135
E8PAIF,Olivia Moore,796.9575963322233
YFJFJ3,Isabella Brown,136.47845474116212
GY4RAM,Ava Brown,945.9897870671919
IR7F3Y,Liam Davis,519.3553370789904
5HHQ6Z,Ava Taylor,788.259938457241
28QRYS,Sophia Moore,613.3327260510122
QEYZ1W,Noah Jones,641.6710451679586
61G31K,Ethan Brown,807.4339459658848
RI67DN,Liam Johnson,129.45642006421704
11QFMW,Mason Moore,530.2913454763511
07DC3Q,Liam Miller,930.5696435708604
22D9VJ,Isabella Taylor,510.0349630626854
MB2IRK,Olivia Brown,846.3826378573949
QNV4QG,Sophia Davis,764.4023847650998
BKX8CL,Noah Moore,768.0096258691892
239J8F,Sophia Smith,863.1660039788707
1AG0NI,Isabella Davis,619.7855751469011
46OK5W,Noah Miller,484.6273202241504
T7IZ9D,Mason Miller,68.01178860317947
M6UE4G,Emma Taylor,426.36172131124283
VP0G5G,Olivia Brown,334.0826717691991
5OYF8J,Olivia Brown,155.69496465810406
0YA0X3,Sophia Moore,317.49334956783593
ZX9M2Q,Noah Jones,253.95647289081396
3ZCW4P,Liam Jones,563.0615473786946
2I7JNL,Sophia Williams,877.7917438247622
W4BNFV,Ava Taylor,617.4149941225924
TD66LX,Ethan Johnson,48.83850628388113
2NZ1QF,Mason Miller,555.4765592494322
7Y6NAX,Emma Brown,596.45028519512
J2F4E0,Logan Wilson,328.78766094035615
TY6DWR,Liam Johnson,382.9915089416539
WC3CY5,Liam Davis,180.87899665528698
6EO501,Olivia Jones,136.3633582186642
W3V29V,Mason Smith,266.70172056093884
O43VOU,Logan Miller,855.0714340711829
YDE06E,Isabella Johnson,610.4086546904904
X6QAP2,Olivia Wilson,424.7213021948404
WY3A8X,Emma Moore,311.47104409207907
TCPVEO,Ava Taylor,985.8858635555048
KXBP9K,Isabella Brown,231.5437127546591
KJQ5SR,Sophia Jones,100.90758205223138
J9X8AY,Liam Johnson,353.8114673408503
OO522F,Sophia Miller,66.38458864312445
EMG6EL,Ethan Johnson,848.4329058431233
5Y7LQ5,Olivia Williams,586.3258994932418
T3LM63,Isabella Taylor,847.9922021821027
T2RDTO,Logan Taylor,231.51579287095672
SKUDCT,Sophia Johnson,262.8633141736318
KR906T,Sophia Miller,753.4699940898034
BB9BNN,Ava Williams,719.3386858343528
IBRUB5,Isabella Williams,478.76654240608457
4WE811,Isabella Miller,782.8011685440588
EUW02T,Ethan Davis,600.0314753379338
4DYPYS,Isabella Williams,112.14500711473991
2UIC6F,Emma Moore,183.29752771437083
GMUAN0,Isabella Davis,391.7714316608004
KY0DFG,Ethan Johnson,405.1647280122149
ZNX09J,Ethan Smith,677.5999972780771
ULYN8B,Noah Miller,731.9437140626635
